statement,file_path,INCLUDE,INCLUDE_PATH,DEPENDENCY_EXISTS,LIBNAME,MACRO_DEF,MACRO_CALL,tables_sourcejoin,tables_table,source,input_table,output_table,WRITE_BACK,MISSING_LIBNAME
%let path1=/folders/myfolders/test1;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
%let path2=/folders/myfolders/test2;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
"%include ""&path2/setup.sas"";",SAS Files\adam_adae.sas,yes,&path2/setup.sas,Yes,,,,,,,,,No,
%let metadatafile=&path1/adam_metadata.xlsx;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
"%include ""&path1/make_empty_dataset.sas"";",SAS Files\adam_adae.sas,yes,&path1/make_empty_dataset.sas,Yes,,,,,,,,,No,
"%make_empty_dataset(metadatafile=&metadatafile,dataset=adae)",SAS Files\adam_adae.sas,,,,,,make_empty_dataset,,,,,,No,
proc sort,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
data = adam.adsl,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
(keep = usubjid siteid country age agegr1 agegr1n sex race trtsdt trt01a trt01an saffl),SAS Files\adam_adae.sas,,,,,,,,,,,,No,
out = adsl;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
by usubjid;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
"%include ""&path2/dtc2dt.sas"";",SAS Files\adam_adae.sas,yes,&path2/dtc2dt.sas,Yes,,,,,,,,,No,
data adae;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
merge sdtm.ae (in = inae) adsl (in = inadsl);,SAS Files\adam_adae.sas,,,,,,,"sdtm.ae, (in, =, inae), adsl, (in, =, inadsl)",,,,,No,
by usubjid ;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
if inae and not inadsl then,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
put 'prob' 'lem: subject missing from adsl?-- ' usubjid= inae= inadsl= ;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
rename trt01a    = trta,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
trt01an   = trtan,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
if inadsl and inae;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
"%dtc2dt(aestdtc, prefix=ast, refdt=trtsdt);",SAS Files\adam_adae.sas,,,,,,dtc2dt,,,,,,No,
"%dtc2dt(aeendtc, prefix=aen, refdt=trtsdt);",SAS Files\adam_adae.sas,,,,,,dtc2dt,,,,,,No,
"if index(aedecod, 'pain')>0 or aedecod='headache' then",SAS Files\adam_adae.sas,,,,,,,,,,,,No,
cq01nam = 'pain event';,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
else,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
cq01nam = '          ';,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
"aereln = input(put(aerel, $aereln.), best.);",SAS Files\adam_adae.sas,,,,,,,,,,,,No,
"aesevn = input(put(aesev, $aesevn.), best.);",SAS Files\adam_adae.sas,,,,,,,,,,,,No,
relgr1n = (aereln); ** group related events (aereln>0);,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
"relgr1  = put(relgr1n, relgr1n.);",SAS Files\adam_adae.sas,,,,,,,,,,,,No,
if astdt>=trtsdt then,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
trtemfl = 'y';,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
format astdt aendt yymmdd10.;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
data adae;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
retain &adaekeepstring;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
set empty_adae adae;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
"%include ""&path1/make_sort_order.sas"";",SAS Files\adam_adae.sas,yes,&path1/make_sort_order.sas,Yes,,,,,,,,,No,
"%make_sort_order(metadatafile=&metadatafile, dataset=adae)",SAS Files\adam_adae.sas,,,,,,make_sort_order,,,,,,No,
proc sort,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
data=adae(keep = &adaekeepstring),SAS Files\adam_adae.sas,,,,,,,,,,,,No,
out=adam.adae;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
by &adaesortstring;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adae.sas,,,,,,,,,,,,No,
%let path1=/folders/myfolders/test1;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
%let path2=/folders/myfolders/test2;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
"%include ""&path2/setup.sas"";",SAS Files\adam_adef.sas,yes,&path2/setup.sas,Yes,,,,,,,,,No,
%let metadatafile=&path1/adam_metadata.xlsx;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
"%include ""&path1/make_empty_dataset.sas"";",SAS Files\adam_adef.sas,yes,&path1/make_empty_dataset.sas,Yes,,,,,,,,,No,
"%make_empty_dataset(metadatafile=&metadatafile,dataset=adef)",SAS Files\adam_adef.sas,,,,,,make_empty_dataset,,,,,,No,
"%include ""&path2/cfb.sas"";",SAS Files\adam_adef.sas,yes,&path2/cfb.sas,Yes,,,,,,,,,No,
"%cfb(indata=sdtm.xp, outdata=adef, dayvar=xpdy, avalvar=xpstresn);",SAS Files\adam_adef.sas,,,,,,cfb,,,,,,No,
